JobTitle,Company,Location,Description,PostDate,JobUrl
"Data Scientist - AI/ML Specialist Jobs in India, Noida",ANI Calls India Private Limited,"Delhi, Delhi","Job Description : Develop and support internal community of ML related subject matter experts.
Design solutions that make the best use of cloud platform and AI…",Just posted,https://in.indeed.com//rc/clk?jk=e8f6e7c28810c5f5&fccid=3799fa8ac2d1edf2&vjs=3
Data Scientist,iGloble Solutions,"Kalkaji Devi, Delhi","Experience in data analysis and methodologies.
Collaborate with the team to analyze problems.
Write functions/scripts to build datasets base.",30+ days ago,https://in.indeed.com//rc/clk?jk=254483a2a7f91f64&fccid=e233b80a86da0ac4&vjs=3
Machine Learning Internship,Faintel,"Delhi, Delhi","Faintel - Financial Services, driven by artificial intelligence.
Faintel operates at the intersection of finance and artificial intelligence.",Today,https://in.indeed.com//rc/clk?jk=968e53a699b681d4&fccid=dd616958bd9ddc12&vjs=3
Data Scientist,Mahajan Imaging,"Defence Colony, Delhi, Delhi","Responsible for driving Mahajan Imaging's new focus on medical informatics and data analytics:
Preferably well aquainted with SQL based PACS and Hospital…",30+ days ago,https://in.indeed.com//rc/clk?jk=66ccc5c08382f2db&fccid=8c384b556556a33b&vjs=3
Data Scientist,"ESRI, Inc.","New Delhi, Delhi","Our team develops tools, APIs, and AI models for geospatial analysts and data scientists, enabling them to leverage the latest research in spatial data science,…",30+ days ago,https://in.indeed.com//rc/clk?jk=9dbb7e46d46462ab&fccid=bebf9775d7d3bca8&vjs=3
India Market Unit - Data Science Consultant - 09,Accenture,"New Delhi, Delhi","Accenture is a leading global professional services company, providing a broad range of services in strategy and consulting, interactive, technology and…",2 days ago,https://in.indeed.com//rc/clk?jk=c77a384abb85ef51&fccid=a4e4e2eaf26690c9&vjs=3
Data Scientist,Team Computers,"Delhi, Delhi","Extraction of actionable data from unstructured files like TRF, Medical images etc.
Experience with common data science toolkits, such as R, Matlab, Python…",30+ days ago,https://in.indeed.com//rc/clk?jk=fa2cc809a66e1051&fccid=5f5253908aa59546&vjs=3
Data Scientist,Ank Aha,"New Delhi, Delhi","Ensure data integrity and consistency across relevant data systems.
Support in providing data analytics for all data and technology related projects esp.",30+ days ago,https://in.indeed.com//rc/clk?jk=46c05f5e4257bce1&fccid=bb06134d61a9b592&vjs=3
Data Analytics Internship,Kisan Finance (IFFCO Group),"Delhi, Delhi","Kisan Rural Finance (Kisan Finance) is a company promoted by Indian Farmers Fertiliser Cooperative Limited (IFFCO), a unique organization working tirelessly for…",11 days ago,https://in.indeed.com//rc/clk?jk=b73149c5573134b8&fccid=8dd01c126a038cae&vjs=3
Specialist - data scientist,RGF Professional Recruitment,Delhi,"Experience with unstructured data and big data.
Competent at analyzing both quantitative and qualitative data.
A from tier 1 institutions.",4 days ago,https://in.indeed.com//rc/clk?jk=6e9e149b66fab313&fccid=3fd016e76501eb7e&vjs=3
Data Science Platform Lead,NatWest Group,"Delhi, Delhi","Experience with data science software, database languages, big data technologies and cloud environments.
Experience working with unstructured/text data.",4 days ago,https://in.indeed.com//rc/clk?jk=1dad21330b955d6c&fccid=4a3a2b1eb3ec0691&vjs=3
Manager Data Scientist,Innefu Labs Pvt. Ltd.,"Delhi, Delhi","Must be able to handle deployment complexities like big data management, model integration to existing environment.
More than 100+ clients in India.",30+ days ago,https://in.indeed.com//rc/clk?jk=a05c73e5384ec6c0&fccid=5c36da9694f987a9&vjs=3
Data Scientist,NatWest Group,"Delhi, Delhi","Experience with data science software, database languages, big data technologies and cloud environments.
Experience working with unstructured/text data.",6 days ago,https://in.indeed.com//rc/clk?jk=9ed7ce23202b4ec3&fccid=4a3a2b1eb3ec0691&vjs=3
Fresher - Internship - Business Analytics / Data Analytics - Online - 9808811409,Shri TirupatiI Balaji Education Foundation,"Delhi, Delhi","Call / whatsapp Ketan - 9808811409 / Rashmi - 8755902532.
Freshers will be trained on PYTHON, Data Science, Business Analytics, Machine Learning with Job…",30+ days ago,https://in.indeed.com//rc/clk?jk=17f7d1031ccba24f&fccid=029a9fc434ec1c1f&vjs=3
DATA SCIENTIST,Innefu Labs Pvt. Ltd.,"Delhi, Delhi","Keep up-to-date with latest technology trends.
Work closely with Project/Business/Research teams for identifying the best model for a given problem.",30+ days ago,https://in.indeed.com//rc/clk?jk=88cd8309fdd32344&fccid=5c36da9694f987a9&vjs=3
"Freshers/Trainee/ Internship - Data Science, Machine Learning & AI",Shri TirupatiI Balaji Education Foundation,"Delhi, Delhi","Online internship in Data Science.
Candidate need to be fresher.
Must be graduate in any field.
IIBM Institute had already trained and placed over 25,000…",30+ days ago,https://in.indeed.com//rc/clk?jk=c133780f021492d9&fccid=029a9fc434ec1c1f&vjs=3
"Trainee - Data Science, Artificial Intelligence & Data Analytics",Shri TirupatiI Balaji Education Foundation,"Delhi, Delhi","Online internship in Data Science.
Candidate need to be fresher.
Must be graduate in any field.
IIBM Institute had already trained and placed over 25,000…",30+ days ago,https://in.indeed.com//rc/clk?jk=30435613cc02b7dc&fccid=029a9fc434ec1c1f&vjs=3
Data Scientist/Analytics Engineer - Machine Learning/Predictive Modeling,Suntec Web Services,"New Delhi, Delhi","Experience with B2B business data analysis, B2B financial data analysis and demographic data analytics.
Implement efficient data structures to enable faster…",30+ days ago,https://in.indeed.com//rc/clk?jk=ba3992342a1af809&fccid=c657004775716cc5&vjs=3
Data Analyst – Fresher – Data Scientist – Graduate - Fresher 8077828639 | 7303778896,Structured Learning Assistance Consultants India P...,"Delhi, Delhi","MS Office skills: Excel (Advance, including pivot tables, and macro), Word and PowerPoint (intermediate).
MI report development and assisting with other ad hoc…",30+ days ago,https://in.indeed.com//rc/clk?jk=c672267d0db89bb5&fccid=348477e5863ab08a&vjs=3
Freshers /Trainee Internship in Data Science,Shri TirupatiI Balaji Education Foundation,"Delhi, Delhi","Online internship in Data Science.
Candidate need to be fresher.
Must be graduate in any field.
IIBM Institute had already trained and placed over 25,000…",30+ days ago,https://in.indeed.com//rc/clk?jk=9b80c5e602b73bd3&fccid=029a9fc434ec1c1f&vjs=3
AI & Machine Learning expert,F-Trend,"New Delhi, Delhi","F-Trend is a leading global fashion forecasting company, an attempt to expand our network we are looking for professionals in trend research, fashion…",30+ days ago,https://in.indeed.com//rc/clk?jk=2cd9675fcb4315e5&fccid=87b972f6d2e4a78c&vjs=3
Teaching (R Programing & Data Science) Internship,SASVBA,"Delhi, Delhi","Work as an data analysis trainer.
Work as a data science teacher 3.
We offer different courses from business analytics, graphics designing, digital marketing,…",20 days ago,https://in.indeed.com//rc/clk?jk=17a73695f997c603&fccid=9dd6ea617d8e51d5&vjs=3
"Xamarin - Machine Learning Jobs in India, Noida",ANI Calls India Private Limited,"Delhi, Delhi","Job Description : Artificial Intelligence/Machine Learning implementations Hands-on Experience with Xamarin, Visual Studio, and Gitlab Hands-on experience in…",Just posted,https://in.indeed.com//rc/clk?jk=8b1ece1f7c00ede0&fccid=3799fa8ac2d1edf2&vjs=3
Machine Learning Engineer II,Expedia Group,Delhi,Are you fascinated by data and building robust data pipelines which process massive amounts of data at scale and speed to provide crucial insights to the end…,30+ days ago,https://in.indeed.com//rc/clk?jk=6ec57bb2f1958a16&fccid=160efb82f2462f14&vjs=3
R Programming (Data Analytics) Internship,MyNalanda Solutions & Services Private Limited,"Delhi, Delhi","MyNalanda Solutions & Services Private Limited is a technology-based company, revolutionizing education with data analytics.
Have relevant skills and interests.",12 days ago,https://in.indeed.com//rc/clk?jk=eb732aea210809be&fccid=9f938e578b378940&vjs=3
Business Analytics Internship,SÃWAI,"Delhi, Delhi","SAWAI, a sanctum of luxury, is India's first leisure, lifestyle & wealth platform for the discerning few with a profound appreciation of the elegant and the…",2 days ago,https://in.indeed.com//rc/clk?jk=278765faeab131a8&fccid=081e4db8f85d5142&vjs=3
Machine Learning Engineer,CCS Computers,"Delhi, Delhi","Data analytics and data engineering experience is a plus.
Candidate should have experience in combination of threat modeling, data analysis, and machine…",30+ days ago,https://in.indeed.com//rc/clk?jk=3709ea8aabbace42&fccid=87bb0bbd8857f57d&vjs=3
"Machine Learning/Deep Learning Jobs in Noida, India",ANI Calls India Private Limited,"Delhi, Delhi","Create and maintain optimal data pipeline architecture Assemble large, complex data sets.
Responsibilities Select appropriate datasets and data representation.",Just posted,https://in.indeed.com//rc/clk?jk=56c02f4858acb3a0&fccid=3799fa8ac2d1edf2&vjs=3
"Data Science Lead – Python, AI/ML",MNF – MyNextFilm,"New Delhi, Delhi","Excellent quantitative skills and the ability to tell a story using data.
You must also be an effective communicator, possess a high degree of passion for…",30+ days ago,https://in.indeed.com//rc/clk?jk=a8f97db9541282b6&fccid=7ae13febb4fedfa5&vjs=3
Senior Analyst - Data Scientist (Automotive),IHS Markit,"A F Rajokari, Delhi","3+ years’ experience as a data scientist.
Creation of logical and physical data models (including creation of workflows in data science platforms such as KNIME)…",30+ days ago,https://in.indeed.com//rc/clk?jk=8e2d3148fd57900b&fccid=c4ba6202af4dda9d&vjs=3
Data Science AI ML NLP Consultant - Gurgaon,ChampionsIT,"Delhi, Delhi","Experience in extracting data from a variety of data sources.
Proven expertise in analyzing & visualizing data.
Prepare Data followed by Model development.",30+ days ago,https://in.indeed.com//rc/clk?jk=dfc36d00d7281a68&fccid=fd66a1619bfc9ad4&vjs=3
"Solutions Architect-AI / Machine Learning Jobs in India, Noida",ANI Calls India Private Limited,"Delhi, Delhi","Job Description : Active DoD SECRET clearance Currently possess DoD 8750 certification at IAT level I, Security+ CE, or CCNA Security.",Just posted,https://in.indeed.com//rc/clk?jk=2af0dde2772a3500&fccid=3799fa8ac2d1edf2&vjs=3
"Machine Learning lead consultant Jobs in Noida, India",ANI Calls India Private Limited,"Delhi, Delhi","Ability to write highly performant code taking care of large volumes of data.
Job Description : Keen interest in machine learning and 5+ years of practical…",Just posted,https://in.indeed.com//rc/clk?jk=f583b81439ae16e0&fccid=3799fa8ac2d1edf2&vjs=3
"Senior Analyst, People Analytics",The Boston Consulting Group,"New Delhi, Delhi","Must have 5+ years of full time Python programing and hands-on experience through all stages of data science including data mining, data processing, model…",30+ days ago,https://in.indeed.com//rc/clk?jk=2c16df32f3e98fcf&fccid=b95f9eb47968fa13&vjs=3
Software Engineer (Machine Learning),Perfect Intelligent Systems,"Delhi, Delhi","You will work on some challenging problems in Machine Learning, Natural Language Processing and Image Processing using cutting-edge Machine Learning techniques.",30+ days ago,https://in.indeed.com//rc/clk?jk=9c87b8dcd4a5e2db&fccid=45d9531abc17d9d7&vjs=3
Product Engineer - Geospatial Data Science,"ESRI, Inc.","New Delhi, Delhi","Our team develops tools, APIs, and AI models for geospatial analysts and data scientists, enabling them to leverage the latest research in spatial data science,…",30+ days ago,https://in.indeed.com//rc/clk?jk=fbd570a21f76ab60&fccid=bebf9775d7d3bca8&vjs=3
SE - Machine Learning,Contify Pvt. Ltd.,"New Delhi, Delhi","We are team of analysts, engineers, data scientists and designers building powerful intelligence tools for business users.
Company Name: Contify Pvt. Ltd.",30+ days ago,https://in.indeed.com//rc/clk?jk=ad2efefa7987c55b&fccid=eacf104354817a16&vjs=3
